experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender,bonus_stocks_usd
SE,research scientist,159300.0,0.0,United States,M,Unknown,Unknown
EN,head of data analytics,27000.0,100.0,American Samoa,M,Unknown,Unknown
MI,data scientist,119200.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,86600.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,166000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,73100.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,212000.0,0.0,Egypt,M,Unknown,Unknown
MI,data scientist,93300.0,0.0,Egypt,M,Unknown,Unknown
SE,data analyst,96600.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,55200.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,132600.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,80845.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,144200.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,72100.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,212000.0,0.0,Egypt,M,Unknown,Unknown
MI,data scientist,93300.0,0.0,Egypt,M,Unknown,Unknown
EN,research analyst,100144.0,0.0,Canada,M,Unknown,Unknown
EN,research analyst,78308.0,0.0,Canada,M,Unknown,Unknown
SE,data scientist,212000.0,0.0,Egypt,M,Unknown,Unknown
SE,data scientist,93300.0,0.0,Egypt,M,Unknown,Unknown
SE,data scientist,66666.0,0.0,Lithuania,M,Unknown,Unknown
SE,data scientist,53333.0,0.0,Lithuania,M,Unknown,Unknown
SE,business intelligence analyst,112125.0,100.0,Canada,M,Unknown,Unknown
SE,business intelligence analyst,67275.0,100.0,Canada,M,Unknown,Unknown
MI,data scientist,166000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,73100.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,114000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,75000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,200070.0,0.0,Canada,M,Unknown,Unknown
SE,data scientist,107730.0,0.0,Canada,M,Unknown,Unknown
MI,data engineer/developer,220000.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,140000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,100000.0,0.0,Ireland,M,Unknown,Unknown
SE,data analyst,80000.0,0.0,Ireland,M,Unknown,Unknown
MI,data scientist,287800.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,287800.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,166000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,73100.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,187770.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,109500.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,93750.0,0.0,United Kingdom,M,Unknown,Unknown
EN,data analyst,68750.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data scientist,177300.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,126500.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,145100.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,93900.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,245000.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,163000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,189100.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,154360.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,159250.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,85750.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,152000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,133200.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,83333.0,0.0,France,M,Unknown,Unknown
SE,data scientist,225000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,156400.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,197000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,99000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,256100.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,137900.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,67993.0,0.0,South Africa,M,Unknown,Unknown
SE,business intelligence analyst,42457.0,0.0,South Africa,M,Unknown,Unknown
MI,research scientist,212800.0,0.0,United States,L,Unknown,Unknown
MI,research scientist,124100.0,0.0,United States,L,Unknown,Unknown
SE,data architect,220000.0,0.0,United States,M,Unknown,Unknown
SE,data architect,200000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,300000.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,235000.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,262269.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,230797.0,100.0,United States,M,Unknown,Unknown
EN,data scientist,40000.0,0.0,Estonia,M,Unknown,Unknown
EN,data scientist,40000.0,0.0,Estonia,M,Unknown,Unknown
SE,data analyst,152000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,126667.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,90000.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,75000.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,115000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,90000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning scientist,750000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning scientist,150000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,247300.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,139700.0,0.0,United States,M,Unknown,Unknown
MI,research engineer,360000.0,0.0,United States,M,Unknown,Unknown
MI,research engineer,295000.0,0.0,United States,M,Unknown,Unknown
MI,ai developer,200000.0,0.0,United States,M,Unknown,Unknown
MI,ai developer,151000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,170000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,130000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,140000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,115000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,105000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,78575.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,130000.0,0.0,Germany,L,Unknown,Unknown
MI,data engineer/developer,66666.0,0.0,Germany,L,Unknown,Unknown
SE,data engineer/developer,175000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,140000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,276000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,140000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,173000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,102000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,66250.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data engineer/developer,57000.0,0.0,United Kingdom,M,Unknown,Unknown
MI,data scientist,188500.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,165100.0,0.0,United States,M,Unknown,Unknown
MI,ai developer,166000.0,0.0,United States,M,Unknown,Unknown
MI,ai developer,73100.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,414000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,216000.0,0.0,United States,M,Unknown,Unknown
MI,research scientist,96200.0,100.0,United States,M,Unknown,Unknown
MI,research scientist,69800.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,179000.0,0.0,United Kingdom,M,Unknown,Unknown
MI,data scientist,112000.0,0.0,United Kingdom,M,Unknown,Unknown
EN,data analyst,118750.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,106875.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,212800.0,0.0,United States,L,Unknown,Unknown
MI,data scientist,111600.0,0.0,United States,L,Unknown,Unknown
MI,data engineer/developer,92248.0,0.0,Netherlands,M,Unknown,Unknown
MI,data engineer/developer,64574.0,0.0,Netherlands,M,Unknown,Unknown
SE,machine learning engineer,212000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,93300.0,0.0,United States,M,Unknown,Unknown
EN,machine learning engineer,162240.0,0.0,United States,M,Unknown,Unknown
EN,machine learning engineer,47840.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,222200.0,0.0,United States,L,Unknown,Unknown
MI,data scientist,136000.0,0.0,United States,L,Unknown,Unknown
SE,data product manager,170000.0,100.0,United States,M,Unknown,Unknown
SE,data product manager,145000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,117000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,93000.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,81250.0,0.0,United Kingdom,M,Unknown,Unknown
MI,data engineer/developer,68750.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data engineer/developer,130000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,110000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,190400.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,122900.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,221000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,185000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,220000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,170000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,210100.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,210100.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,130000.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence analyst,115000.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,170000.0,100.0,United States,M,Unknown,Unknown
MI,data engineer/developer,90000.0,100.0,United States,M,Unknown,Unknown
MI,machine learning operations,280000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning operations,160000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,255475.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,185800.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,170000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,151000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,130000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,100000.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence engineer,185000.0,0.0,United States,L,Unknown,Unknown
SE,business intelligence engineer,79600.0,0.0,United States,L,Unknown,Unknown
MI,data analyst,95000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,65000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,240000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,162000.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,110400.0,0.0,United States,M,Unknown,Unknown
EN,data scientist,68000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,307100.0,100.0,United States,M,Unknown,Unknown
SE,machine learning engineer,216800.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,102000.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,92000.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,222200.0,0.0,United States,L,Unknown,Unknown
MI,data scientist,136000.0,0.0,United States,L,Unknown,Unknown
SE,data engineer/developer,190000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,136000.0,100.0,United States,M,Unknown,Unknown
MI,machine learning engineer,165000.0,100.0,United States,M,Unknown,Unknown
MI,machine learning engineer,140250.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,160000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,130000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,190000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,190000.0,0.0,United States,M,Unknown,Unknown
SE,data product manager,131200.0,100.0,United States,M,Unknown,Unknown
SE,data product manager,95300.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,150000.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,127500.0,100.0,United States,M,Unknown,Unknown
MI,data engineer/developer,51446.0,0.0,United Kingdom,M,Unknown,Unknown
MI,data engineer/developer,45775.0,0.0,United Kingdom,M,Unknown,Unknown
SE,data scientist,136000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,109000.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,104000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,86000.0,0.0,United States,M,Unknown,Unknown
EX,head of data analytics,195000.0,0.0,United States,M,Unknown,Unknown
EX,head of data analytics,150000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,237500.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,185000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,120000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,100000.0,0.0,United States,M,Unknown,Unknown
MI,business intelligence engineer,165600.0,0.0,United States,L,Unknown,Unknown
MI,business intelligence engineer,65800.0,0.0,United States,L,Unknown,Unknown
SE,data engineer/developer,245000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,194992.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,154000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,105000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,250800.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,167200.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,60000.0,100.0,India,M,Unknown,Unknown
MI,research engineer,34549.0,50.0,Spain,L,Unknown,Unknown
MI,data analyst,160000.0,100.0,United States,M,Unknown,Unknown
MI,data analyst,55000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,149000.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,108000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,165000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,155000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,278700.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,159300.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,162500.0,100.0,United Kingdom,M,Unknown,Unknown
MI,data engineer/developer,115000.0,100.0,United Kingdom,M,Unknown,Unknown
MI,data scientist,138000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,86000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,106960.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,66820.0,0.0,United States,M,Unknown,Unknown
MI,research scientist,157900.0,0.0,United States,M,Unknown,Unknown
MI,research scientist,128900.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,258450.0,0.0,United States,M,Unknown,Unknown
SE,machine learning engineer,173400.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,160000.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,150000.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,138000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,86000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,199700.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,114100.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,130000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,115000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,120000.0,0.0,United States,M,Unknown,Unknown
MI,data analyst,105000.0,0.0,United States,M,Unknown,Unknown
SE,data analyst,136000.0,100.0,United States,M,Unknown,Unknown
SE,data analyst,109000.0,100.0,United States,M,Unknown,Unknown
MI,machine learning engineer,210100.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,210100.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,172800.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,110000.0,100.0,United States,M,Unknown,Unknown
EN,data analyst,101000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,63000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,193000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,172000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,175000.0,0.0,United States,M,Unknown,Unknown
MI,machine learning engineer,152000.0,0.0,United States,M,Unknown,Unknown
SE,machine learning scientist,186153.0,0.0,Canada,M,Unknown,Unknown
SE,machine learning scientist,165384.0,0.0,Canada,M,Unknown,Unknown
SE,data scientist,208500.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,165000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,172200.0,100.0,United States,M,Unknown,Unknown
MI,data scientist,131200.0,100.0,United States,M,Unknown,Unknown
SE,business intelligence engineer,156000.0,0.0,United States,M,Unknown,Unknown
SE,business intelligence engineer,105267.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,226000.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,132000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,108000.0,0.0,United States,M,Unknown,Unknown
EN,data analyst,72200.0,0.0,United States,M,Unknown,Unknown
SE,data engineer/developer,247500.0,100.0,United States,M,Unknown,Unknown
SE,data engineer/developer,172200.0,100.0,United States,M,Unknown,Unknown
SE,data scientist,215000.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,146900.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,270250.0,0.0,United States,M,Unknown,Unknown
SE,data scientist,144000.0,0.0,United States,M,Unknown,Unknown
SE,ai developer,212000.0,0.0,United States,M,Unknown,Unknown
SE,ai developer,93300.0,0.0,United States,M,Unknown,Unknown
SE,data integrations engineer,180000.0,0.0,United States,M,Unknown,Unknown
SE,data integrations engineer,121056.0,0.0,United States,M,Unknown,Unknown
MI,data product manager,124935.0,0.0,United States,M,Unknown,Unknown
MI,data product manager,76050.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,115500.0,0.0,United States,M,Unknown,Unknown
MI,data engineer/developer,100000.0,0.0,United States,M,Unknown,Unknown
SE,data integrations engineer,156000.0,0.0,United States,M,Unknown,Unknown
SE,data integrations engineer,105267.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,250000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,90100.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,166000.0,0.0,United States,M,Unknown,Unknown
MI,data scientist,73000.0,0.0,United States,M,Unknown,Unknown
